classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
73808270,not-logged-in-bbd145cc683e61465431,,bbd145cc683e61465431,4466,Classify Motion-Activated Camera Pictures,47.58,2017-10-10 09:29:09 UTC,,,"{""session"":""a4b4c822ba546ee476633ea8b603cccde5ff9f1f03f85f283b5a43a2f69d50cf"",""viewport"":{""width"":1666,""height"":893},""started_at"":""2017-10-10T09:29:02.488Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"",""utc_offset"":""14400"",""finished_at"":""2017-10-10T09:29:09.035Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1036,""clientHeight"":583,""naturalWidth"":1152,""naturalHeight"":648}]}","[{""task"":""T0"",""value"":[{""choice"":""IMNOTSURE"",""answers"":{},""filters"":{}}]}]","{""10722894"":{""retired"":null,""Filename"":""MFDC2598.jpg""}}",10722894
73808305,not-logged-in-bbd145cc683e61465431,,bbd145cc683e61465431,4466,Classify Motion-Activated Camera Pictures,47.58,2017-10-10 09:29:16 UTC,,,"{""session"":""a4b4c822ba546ee476633ea8b603cccde5ff9f1f03f85f283b5a43a2f69d50cf"",""viewport"":{""width"":1666,""height"":893},""started_at"":""2017-10-10T09:29:10.239Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"",""utc_offset"":""14400"",""finished_at"":""2017-10-10T09:29:16.652Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1036,""clientHeight"":583,""naturalWidth"":1152,""naturalHeight"":648}]}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""10722939"":{""retired"":null,""Filename"":""MFDC3072.jpg""}}",10722939
73808340,not-logged-in-bbd145cc683e61465431,,bbd145cc683e61465431,4466,Classify Motion-Activated Camera Pictures,47.58,2017-10-10 09:29:23 UTC,,,"{""session"":""a4b4c822ba546ee476633ea8b603cccde5ff9f1f03f85f283b5a43a2f69d50cf"",""viewport"":{""width"":1666,""height"":893},""started_at"":""2017-10-10T09:29:18.002Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"",""utc_offset"":""14400"",""finished_at"":""2017-10-10T09:29:23.694Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1036,""clientHeight"":583,""naturalWidth"":1152,""naturalHeight"":648}]}","[{""task"":""T0"",""value"":[{""choice"":""IMNOTSURE"",""answers"":{},""filters"":{}}]}]","{""10710037"":{""retired"":null,""Filename"":""mfdc7548_29515375756_o.jpg""}}",10710037
73808399,not-logged-in-bbd145cc683e61465431,,bbd145cc683e61465431,4466,Classify Motion-Activated Camera Pictures,47.58,2017-10-10 09:29:35 UTC,,,"{""session"":""a4b4c822ba546ee476633ea8b603cccde5ff9f1f03f85f283b5a43a2f69d50cf"",""viewport"":{""width"":1666,""height"":893},""started_at"":""2017-10-10T09:29:24.786Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"",""utc_offset"":""14400"",""finished_at"":""2017-10-10T09:29:35.158Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1036,""clientHeight"":583,""naturalWidth"":1152,""naturalHeight"":648}]}","[{""task"":""T0"",""value"":[{""choice"":""INSECTORSPIDER"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""RESTING""],""ARETHEREANYYOUNGPRESENT"":""NO""},""filters"":{}}]}]","{""10710568"":{""retired"":null,""Filename"":""mfdc8990_34714504180_o.jpg""}}",10710568
73808448,not-logged-in-bbd145cc683e61465431,,bbd145cc683e61465431,4466,Classify Motion-Activated Camera Pictures,47.58,2017-10-10 09:29:48 UTC,,,"{""session"":""a4b4c822ba546ee476633ea8b603cccde5ff9f1f03f85f283b5a43a2f69d50cf"",""viewport"":{""width"":1666,""height"":893},""started_at"":""2017-10-10T09:29:36.723Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"",""utc_offset"":""14400"",""finished_at"":""2017-10-10T09:29:48.051Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1036,""clientHeight"":583,""naturalWidth"":1152,""naturalHeight"":648}]}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""10710631"":{""retired"":null,""Filename"":""mfdc9184_34714501520_o.jpg""}}",10710631
73808478,not-logged-in-bbd145cc683e61465431,,bbd145cc683e61465431,4466,Classify Motion-Activated Camera Pictures,47.58,2017-10-10 09:29:54 UTC,,,"{""session"":""a4b4c822ba546ee476633ea8b603cccde5ff9f1f03f85f283b5a43a2f69d50cf"",""viewport"":{""width"":1666,""height"":893},""started_at"":""2017-10-10T09:29:49.367Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"",""utc_offset"":""14400"",""finished_at"":""2017-10-10T09:29:53.934Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1036,""clientHeight"":583,""naturalWidth"":1152,""naturalHeight"":648}]}","[{""task"":""T0"",""value"":[{""choice"":""IMNOTSURE"",""answers"":{},""filters"":{}}]}]","{""10710324"":{""retired"":null,""Filename"":""mfdc8521_34714486210_o.jpg""}}",10710324
73808507,not-logged-in-bbd145cc683e61465431,,bbd145cc683e61465431,4466,Classify Motion-Activated Camera Pictures,47.58,2017-10-10 09:30:01 UTC,,,"{""session"":""a4b4c822ba546ee476633ea8b603cccde5ff9f1f03f85f283b5a43a2f69d50cf"",""viewport"":{""width"":1666,""height"":893},""started_at"":""2017-10-10T09:29:55.082Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"",""utc_offset"":""14400"",""finished_at"":""2017-10-10T09:30:00.898Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1036,""clientHeight"":583,""naturalWidth"":1152,""naturalHeight"":648}]}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""10710544"":{""retired"":null,""Filename"":""mfdc8971_34714504870_o.jpg""}}",10710544
73808543,not-logged-in-bbd145cc683e61465431,,bbd145cc683e61465431,4466,Classify Motion-Activated Camera Pictures,47.58,2017-10-10 09:30:08 UTC,,,"{""session"":""a4b4c822ba546ee476633ea8b603cccde5ff9f1f03f85f283b5a43a2f69d50cf"",""viewport"":{""width"":1666,""height"":893},""started_at"":""2017-10-10T09:30:01.899Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"",""utc_offset"":""14400"",""finished_at"":""2017-10-10T09:30:08.537Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1036,""clientHeight"":583,""naturalWidth"":1152,""naturalHeight"":648}]}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""10723045"":{""retired"":null,""Filename"":""MFDC4113.jpg""}}",10723045
73808575,not-logged-in-bbd145cc683e61465431,,bbd145cc683e61465431,4466,Classify Motion-Activated Camera Pictures,47.58,2017-10-10 09:30:16 UTC,,,"{""session"":""a4b4c822ba546ee476633ea8b603cccde5ff9f1f03f85f283b5a43a2f69d50cf"",""viewport"":{""width"":1666,""height"":893},""started_at"":""2017-10-10T09:30:09.684Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"",""utc_offset"":""14400"",""finished_at"":""2017-10-10T09:30:16.018Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1036,""clientHeight"":583,""naturalWidth"":1152,""naturalHeight"":648}]}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""10710097"":{""retired"":null,""Filename"":""mfdc7598_28926516973_o.jpg""}}",10710097
73808618,not-logged-in-bbd145cc683e61465431,,bbd145cc683e61465431,4466,Classify Motion-Activated Camera Pictures,47.58,2017-10-10 09:30:30 UTC,,,"{""session"":""a4b4c822ba546ee476633ea8b603cccde5ff9f1f03f85f283b5a43a2f69d50cf"",""viewport"":{""width"":1666,""height"":893},""started_at"":""2017-10-10T09:30:17.155Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38"",""utc_offset"":""14400"",""finished_at"":""2017-10-10T09:30:30.115Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1036,""clientHeight"":583,""naturalWidth"":1152,""naturalHeight"":648}]}","[{""task"":""T0"",""value"":[{""choice"":""BEAR"",""answers"":{""HOWMANY"":""1"",""WHATBEHAVIORSDOYOUSEE"":[""MOVING""],""ARETHEREANYYOUNGPRESENT"":""NO""},""filters"":{}}]}]","{""10710597"":{""retired"":null,""Filename"":""mfdc9098_34257388104_o.jpg""}}",10710597
